post_id,score,top_comment_id,verdict,date
1dst33v,2941,lb4hote,NTA,1719840796.0
1dsojqu,5653,lb3oy8k,NTA,1719825113.0
1dso4o4,2363,lb3mjd4,NTA,1719823368.0
1dsqokn,1220,lb41zgv,NTA,1719833396.0
1dsnxkb,1117,lb3lcpu,NTA,1719822545.0
1dsj9tt,2398,lb2s4ts,NTA,1719804573.0
1ds8rk8,7502,lb0o6ro,NTA,1719774078.0
1dsdhlx,2922,lb1lsnl,NTA,1719786753.0
1ds4dl0,5486,lazqs95,NTA,1719762208.0
1dsaf99,1957,lb0zkve,NTA,1719778473.0
1dsahlr,1890,lb103is,NTA,1719778642.0
1dsbt3s,1235,lb1ednl,NTA,1719782191.0
1ds6ouq,2054,lb07evv,NTA,1719768511.0
1ds1yxy,3741,laz7cu6,NTA,1719755539.0
1ds1cgu,3242,laz34qq,NTA,1719753614.0
1ds3vx6,1295,lazlkro,NTA,1719760857.0
1drt2qp,7883,laxm1lm,NTA,1719720533.0
1drsy7d,1825,laxl4u8,NTA,1719720085.0
1drm1oo,5489,law68vq,NTA,1719698008.0
1drr97b,1243,lax8u8i,NTA,1719714237.0
1drjgse,4128,lavmkh0,NTA,1719690740.0
1drrivk,1094,laxaw1n,NTA,1719715144.0
