post_id,score,top_comment_id,verdict,date,time
flan73,58493,flb1uh1,N/A,2020-03-19,14:11:24
cjetsa,67574,evcvv5a,N/A,2019-07-29,17:58:12
e5k3z2,63527,f9k55ot,NTA,2019-12-03,17:07:53
azvko1,72780,eiafn7y,NTA,2019-03-11,16:41:02
dhfeg9,56952,f3oecp4,ESH,2019-10-13,19:41:26
zvmflw,60421,j1pu1c8,NTA,2022-12-26,12:44:43
aysa03,53303,ei2zp2t,NTA,2019-03-08,16:38:07
ocx94s,81013,h3wyfzq,NTA,2021-07-03,12:36:22
cihc3z,54129,ev8hyqt,NTA,2019-07-27,13:11:51
d6xoro,80914,f0wgdpx,NTA,2019-09-20,16:51:40
wyjbjs,55746,ilx02yw,NTA,2022-08-26,20:25:55
gr8bp3,70806,frxd8p0,NTA,2020-05-26,23:35:45
ur2l3s,51467,i8uryfw,NTA,2022-05-16,18:28:59
ofol5x,51656,h4dpm7g,NTA,2021-07-07,18:11:44
iagtso,52908,g1o1jvg,NTA,2020-08-15,22:26:20
xbn2n0,50605,io0aa8t,NTA,2022-09-11,16:35:44
zz5str,49961,j29o4sy,NTA,2022-12-30,17:13:27
d7yuot,50959,f15xb3y,NTA,2019-09-23,00:16:51
dkqv29,51388,f4iwop1,NTA,2019-10-20,22:19:11
ouje2w,50454,h72oyxj,NTA,2021-07-30,12:10:34
vlelqu,49714,idw8umq,NTA,2022-06-26,21:13:27
unhse2,50020,i882e8d,NTA,2022-05-11,19:27:15
i1bxoe,47898,fzw51ft,NTA,2020-07-31,17:43:53
opgizn,48900,h657l8y,NTA,2021-07-22,15:47:58
100ogg4,48170,j2is9s0,NTA,2023-01-01,17:29:47
daglhs,47768,f1pi20n,NTA,2019-09-28,14:21:44
i9pm5u,47556,g1gjt5y,NTA,2020-08-14,16:53:59
o5pzzy,47671,h2nwka6,NTA,2021-06-22,15:38:41
d10cpy,47421,ezfue2t,NTA,2019-09-07,19:21:39
hvcvtt,46209,fysz91s,NTA,2020-07-21,18:29:53
awyi8k,46790,ehq2aip,NTA,2019-03-03,20:59:42
fzvxw7,46099,fn6c0jt,NTA,2020-04-12,12:32:56
10av2g7,45538,j46ch9o,NTA,2023-01-13,13:52:56
13savby,45752,jlorf50,NTA,2023-05-26,11:43:11
b43t53,45408,ej3xwg9,NTA,2019-03-22,11:13:24
j0rjfm,45207,g6ulqez,NTA,2020-09-27,13:58:42
16r0ybi,45073,k2094fo,NTA,2023-09-24,15:47:49
iix7su,44614,g39zrv6,NTA,2020-08-29,18:12:28
i4sa5r,44385,g0kahoj,NAH,2020-08-06,13:58:49
zdk3bq,45137,iz1w0c1,NTA,2022-12-05,21:19:32
i81zi9,42701,g15ky8k,N/A,2020-08-11,22:47:14
ob0wdk,44254,h3kryii,NTA,2021-06-30,16:27:15
dtg4jw,44249,f6wctg6,NTA,2019-11-08,14:25:22
efcc8u,43713,fbznp8u,NTA,2019-12-25,05:06:30
101hya0,43620,j2nmmg9,NTA,2023-01-02,17:19:19
z77qxc,43264,iy54ay0,NTA,2022-11-28,20:38:22
e3f7tf,42917,f92nbym,ESH,2019-11-29,14:11:48
116lmfw,43047,j9747zf,NTA,2023-02-19,19:28:52
cs0bfh,43060,exbjiuw,NTA,2019-08-18,11:55:47
rb0fmk,42583,hnlibs3,NTA,2021-12-07,14:30:46
11374y5,42321,j8odk2d,NTA,2023-02-15,20:04:58
11sv6o7,42329,jcfl5tp,NTA,2023-03-16,14:07:50
1087lbn,42268,j3qjuv8,NTA,2023-01-10,11:29:58
ulcrp6,41998,i7umcuv,NTA,2022-05-08,22:22:26
hsdpho,42232,fy9uytc,NTA,2020-07-16,17:14:01
jms4y3,41580,gax787d,NTA,2020-11-02,17:40:17
rrjhmz,41786,hqgov0a,NTA,2021-12-29,21:38:13
13terws,41961,jlup1jb,NTA,2023-05-27,18:36:39
dgfkt3,41566,f3b8wrf,NTA,2019-10-11,13:59:39
cbybhq,41417,etj3u27,NTA,2019-07-11,17:15:52
cwxh47,41629,eyg942y,NTA,2019-08-29,07:18:55
cjresy,41152,evf9ufe,NAH,2019-07-30,12:58:41
vnl1hw,41266,ie7milx,NTA,2022-06-29,17:19:30
hh9avd,41145,fw92u7a,NTA,2020-06-28,05:51:35
cohdqj,41046,ewi8p6l,NTA,2019-08-10,12:23:53
cdypge,41138,etx68zk,YTA,2019-07-16,15:41:11
htmhgb,40985,fyhp7i7,NTA,2020-07-18,19:27:00
i9ld3q,40674,g1fz929,NTA,2020-08-14,12:50:32
1cst3vg,40352,l478l38,NTA,2024-05-15,19:13:27
eizcvf,40713,fcudymu,NTA,2020-01-02,15:09:34
po2kd8,40730,hctebwx,NTA,2021-09-14,13:15:53
indzpu,40356,g47bcq5,NTA,2020-09-06,02:17:48
bvxqh8,40296,ept96rx,YTA,2019-06-02,14:10:33
wb88y8,40148,ii53hux,NTA,2022-07-29,15:50:00
tpp4gc,40138,i2c7l4l,NTA,2022-03-27,17:49:44
p0p2ui,40152,h881q4f,NTA,2021-08-08,23:03:34
zgv9gf,39686,izjzg7z,NTA,2022-12-09,11:51:34
icmq68,39629,g23mzoj,NTA,2020-08-19,12:31:22
hrowir,40070,fy5jkku,ESH,2020-07-15,14:48:00
11m1kor,39630,jbf8rnc,NTA,2023-03-08,16:58:31
hd12gs,39371,fvifx54,NTA,2020-06-21,05:00:14
11f3p2c,39585,jahgini,NTA,2023-03-01,13:24:25
icvnba,39178,g252vi6,NTA,2020-08-19,20:25:19
d38i34,39356,f00aa5u,NTA,2019-09-12,14:13:52
mmxpzu,39186,gtu6ajv,NTA,2021-04-08,18:08:12
bs9yau,39048,eokj5op,NTA,2019-05-23,23:42:49
e8w7e6,38943,faeyzfo,NTA,2019-12-10,20:30:13
11e01qq,38978,jabr33w,NTA,2023-02-28,07:33:01
tc16mg,38741,i0apixa,ESH,2022-03-11,21:56:10
dq32it,38693,f60o3jp,YTA,2019-11-01,11:41:57
oxrztn,38928,h7o8tfc,NTA,2021-08-04,12:50:15
103y282,38768,j31kp68,NTA,2023-01-05,12:44:20
m5qjx0,38624,gr1mpx9,NTA,2021-03-15,17:54:46
c8uwj2,38687,esq3tof,NTA,2019-07-03,22:52:45
s62koq,38632,ht14sq3,NTA,2022-01-17,12:08:24
etguwh,38526,ffgfman,YTA,2020-01-24,21:23:53
d1btlg,38504,ezk4w2y,NTA,2019-09-08,14:48:36
xe62pq,38296,ioewgdl,NTA,2022-09-14,16:15:55
